base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
40ms,1768,103.71200000000002,12800766.760999998,5686830.9,426650.9,27817.3,38838498257127.3,750826305960.3,28551525205934.9,2.895,9859639274547.5,610057586065.2,1362251030.5,123.4261200915,12142.9528605,665.0936782000001,889285.6
40ms,1872,103.7797,12837445.151000002,5124636.4,425011.9,26087.6,38955703299436.4,728446069467.8,28473757723751.4,2.8280000000000003,10067334636372.5,641422599659.4,1290380687.6,123.69886551890002,12143.027970500001,698.1867466,900054.1
40ms,1976,103.7619,12809293.498999998,3319036.8,289111.1,29602.9,38897768522235.0,560699852860.1,28225605078386.2,2.744,10295333414292.4,614813502013.5,1042846682.8,123.4489412639,12352.9323061,460.92179970000007,937591.2
40ms,2080,103.8143,12891959.488,4176167.2,350110.0,26421.5,39132904735348.5,655288872397.9,28555544058032.0,2.807,10206718863386.2,648069857509.4,1165302085.2,124.1829162562,12260.793658300001,632.0601531,913015.9
50ms,104,103.70509999999999,12448714.258,11415.8,332.0,6407.1,37900940111543.5,228509704939.4,26936470590275.6,2.5379999999999994,10612163675850.5,524341298457.8,587077445.1,120.03968315129998,12448.488061600001,0.3489972,1018143.1
50ms,208,103.64079999999998,12447249.566999998,220010.0,13864.2,11555.6,37892213943465.1,231822376516.5,26930988819567.4,2.538,10608406438894.1,524526062997.6,596139933.1,120.0998702194,12446.6921864,3.4757236,1016909.9
50ms,312,103.5836,12448891.4,234783.3,29199.3,15051.2,37892330475867.1,234021218825.5,26951920833264.6,2.543,10594218915934.5,524084561521.2,597880842.6,120.1821631072,12448.093060700001,6.098692699999999,1016481.1
50ms,416,103.58789999999999,12459916.349000001,234880.4,26772.4,17999.1,37923186989409.8,234292180292.3,26979822764812.0,2.547,10595684465267.8,524287606195.2,597942531.6,120.2834488317,12459.1981424,8.008002300000001,1015884.9
50ms,520,103.55879999999999,12461231.850000001,235483.9,33399.6,20903.5,37922194027399.5,234610698648.9,26980503134350.9,2.5469999999999997,10595584082268.4,524396998915.6,599000364.8,120.32978360500002,12460.0174185,11.1615593,1015971.6
50ms,624,103.70149999999998,12527804.15,245348.9,28089.0,22907.0,38120120761158.1,239173679786.9,27153053617485.2,2.5589999999999997,10616189829889.0,531643596390.4,599196439.3,120.80634395489999,12525.8631258,12.631202499999999,1014192.6
50ms,728,103.6738,12531983.604,244605.9,25982.5,24525.4,38131091227533.3,239383119388.0,27163164098557.3,2.5589999999999997,10618257153795.9,531629202061.3,599698324.8,120.87898745289999,12529.8487282,13.246176299999998,1016237.1
50ms,832,103.68449999999999,12539627.075,246441.0,23834.5,27563.7,38150566553408.5,239528449749.6,27180391624270.7,2.557,10624887131337.1,531962952775.0,600720941.8,120.9404833632,12537.247440199999,12.4093158,1015215.9
50ms,936,103.6715,12552574.954,278732.8,29808.4,32687.5,38182528536715.6,258851504275.1,27400590645600.5,2.62,10466959600961.9,525563304916.3,620523014.2,121.0801328458,12543.9629962,18.7187637,1001207.1
50ms,1040,103.68260000000001,12570620.557,466277.0,51556.0,37765.1,38222134800898.3,297196031503.8,27627289608590.3,2.69,10276497132813.4,518155005773.1,657110907.5,121.24148565329999,12543.997627,37.39183069999999,978771.7
50ms,1144,103.6751,12668773.715,723016.3,65265.5,23838.8,38513077306936.3,330064603599.7,27958024751966.9,2.733,10240125143213.9,531199459661.0,694549348.0,122.19694397999999,12623.1447032,55.7140534,974007.0
50ms,1248,103.7089,12659638.110000001,1171023.7,90790.5,32776.5,38478617829040.1,359400047085.1,27975943376872.3,2.747,10185137459837.6,531359249302.5,756987979.1,122.0689241387,12573.4480784,95.62812360000001,966216.5
50ms,1352,103.68520000000001,12666696.031,2846942.8,158715.0,24199.8,38467982154461.2,510679132404.7,28357495708992.4,2.9170000000000007,9766624535358.6,523952503185.4,990773705.3,122.16509384129999,12431.7113001,243.1276786,917245.7
50ms,1456,103.70340000000002,12705858.836000001,2671317.5,177841.3,29275.4,38597883833674.0,475369468652.1,28181906227318.9,2.81,10057076450802.1,542053562060.0,952194810.4,122.52101131279998,12482.8077227,230.3969335,943938.7
